Date,Close
1/2/2015 16:00:00,40.47
1/5/2015 16:00:00,41.24
1/6/2015 16:00:00,40.62
1/7/2015 16:00:00,41.84
1/8/2015 16:00:00,42.4
1/9/2015 16:00:00,41.94
1/12/2015 16:00:00,42.43
1/13/2015 16:00:00,41.58
1/14/2015 16:00:00,42.1
1/15/2015 16:00:00,40.69
1/16/2015 16:00:00,41.67
1/20/2015 16:00:00,41.49
1/21/2015 16:00:00,41.78
1/22/2015 16:00:00,41.23
1/23/2015 16:00:00,42.27
1/26/2015 16:00:00,42.31
1/27/2015 16:00:00,42
1/28/2015 16:00:00,41.82
1/29/2015 16:00:00,43.1
1/30/2015 16:00:00,42.13
2/2/2015 16:00:00,41.7
2/3/2015 16:00:00,41.18
2/4/2015 16:00:00,41.89
2/5/2015 16:00:00,42.37
2/6/2015 16:00:00,41.87
2/9/2015 16:00:00,41.68
2/10/2015 16:00:00,42.81
2/11/2015 16:00:00,43.91
2/12/2015 16:00:00,44.34
2/13/2015 16:00:00,45.09
2/17/2015 16:00:00,45.63
2/18/2015 16:00:00,45.63
2/19/2015 16:00:00,45.97
2/20/2015 16:00:00,47.2
2/23/2015 16:00:00,46.07
2/24/2015 16:00:00,46.2
2/25/2015 16:00:00,47.35
2/26/2015 16:00:00,47.68
2/27/2015 16:00:00,47.41
3/2/2015 16:00:00,48.66
3/3/2015 16:00:00,49.63
3/4/2015 16:00:00,47.84
3/5/2015 16:00:00,47.71
3/6/2015 16:00:00,46.91
3/9/2015 16:00:00,46.24
3/10/2015 16:00:00,46.18
3/11/2015 16:00:00,46.85
3/12/2015 16:00:00,47.11
3/13/2015 16:00:00,47.11
3/16/2015 16:00:00,48.04
3/17/2015 16:00:00,48.31
3/18/2015 16:00:00,48.39
3/19/2015 16:00:00,48.73
3/20/2015 16:00:00,48.03
3/23/2015 16:00:00,47.11
3/24/2015 16:00:00,46.76
3/25/2015 16:00:00,46.21
3/26/2015 16:00:00,47.15
3/27/2015 16:00:00,48.81
3/30/2015 16:00:00,49.54
3/31/2015 16:00:00,48.69
4/1/2015 16:00:00,47.18
4/2/2015 16:00:00,47.27
4/6/2015 16:00:00,47.21
4/7/2015 16:00:00,48.28
4/8/2015 16:00:00,49.09
4/9/2015 16:00:00,48.68
4/10/2015 16:00:00,49.32
4/13/2015 16:00:00,48.38
4/14/2015 16:00:00,48.18
4/15/2015 16:00:00,48.24
4/16/2015 16:00:00,48.93
4/17/2015 16:00:00,47.5
4/20/2015 16:00:00,48.84
4/21/2015 16:00:00,51.46
4/22/2015 16:00:00,51.29
4/23/2015 16:00:00,51.59
4/24/2015 16:00:00,51.28
4/27/2015 16:00:00,51.28
4/28/2015 16:00:00,51.09
4/29/2015 16:00:00,50.67
4/30/2015 16:00:00,49.24
5/1/2015 16:00:00,50.27
5/4/2015 16:00:00,50.92
5/5/2015 16:00:00,49.01
5/6/2015 16:00:00,48.6
5/7/2015 16:00:00,49.8
5/8/2015 16:00:00,50.37
5/11/2015 16:00:00,50.61
5/12/2015 16:00:00,50.56
5/13/2015 16:00:00,50.49
5/14/2015 16:00:00,51.24
5/15/2015 16:00:00,51.57
5/18/2015 16:00:00,52.58
5/19/2015 16:00:00,52.78
5/20/2015 16:00:00,52.84
5/21/2015 16:00:00,53.38
5/22/2015 16:00:00,54.29
5/26/2015 16:00:00,54.61
5/27/2015 16:00:00,53.55
5/28/2015 16:00:00,55.46
5/29/2015 16:00:00,56.5
6/1/2015 16:00:00,56.83
6/2/2015 16:00:00,56.17
6/3/2015 16:00:00,56.4
6/4/2015 16:00:00,56.25
6/5/2015 16:00:00,57.86
6/8/2015 16:00:00,57.61
6/9/2015 16:00:00,57.33
6/10/2015 16:00:00,58.22
6/11/2015 16:00:00,58.21
6/12/2015 16:00:00,58.62
6/15/2015 16:00:00,58.95
6/16/2015 16:00:00,58.9
6/17/2015 16:00:00,60.21
6/18/2015 16:00:00,60.96
6/19/2015 16:00:00,61.36
6/22/2015 16:00:00,61.35
6/23/2015 16:00:00,60.64
6/24/2015 16:00:00,59.71
6/25/2015 16:00:00,59.61
6/26/2015 16:00:00,58.42
6/29/2015 16:00:00,57.28
6/30/2015 16:00:00,58.23
7/1/2015 16:00:00,58.71
7/2/2015 16:00:00,57.97
7/6/2015 16:00:00,58.44
7/7/2015 16:00:00,57.17
7/8/2015 16:00:00,57.49
7/9/2015 16:00:00,58.27
7/10/2015 16:00:00,60.27
7/13/2015 16:00:00,60.38
7/14/2015 16:00:00,61.42
7/15/2015 16:00:00,61.71
7/16/2015 16:00:00,63.35
7/17/2015 16:00:00,63.75
7/20/2015 16:00:00,63.34
7/21/2015 16:00:00,64.02
7/22/2015 16:00:00,64.13
7/23/2015 16:00:00,65.7
7/24/2015 16:00:00,65.63
7/27/2015 16:00:00,62.1
7/28/2015 16:00:00,62.28
7/29/2015 16:00:00,61.22
7/30/2015 16:00:00,61.73
7/31/2015 16:00:00,61.94
8/3/2015 16:00:00,61.64
8/4/2015 16:00:00,61.83
8/5/2015 16:00:00,63.42
8/6/2015 16:00:00,58.16
8/7/2015 16:00:00,58.51
8/10/2015 16:00:00,58.99
8/11/2015 16:00:00,57.98
8/12/2015 16:00:00,57
8/13/2015 16:00:00,57.59
8/14/2015 16:00:00,57.85
8/17/2015 16:00:00,58.59
8/18/2015 16:00:00,57.88
8/19/2015 16:00:00,58.04
8/20/2015 16:00:00,53.54
8/21/2015 16:00:00,53
8/24/2015 16:00:00,51.67
8/25/2015 16:00:00,52.8
8/26/2015 16:00:00,55.98
8/27/2015 16:00:00,55.93
8/28/2015 16:00:00,56
